Date,ratio,ma_60,ma_150,signal,signal_50,bs,bs_50
2017-07-07,0.894771674,0.873289765,0.875401074,0,0,,
2017-07-10,0.895973154,0.872589338,0.875412139,0,0,,
2017-07-11,0.892808684,0.8716276,0.875397975,0,0,,
2017-07-12,0.882596685,0.870916208,0.875447694,0,0,,
2017-07-13,0.876396648,0.870167014,0.875505585,0,0,,
2017-07-14,0.872947894,0.869211313,0.875511153,0,1,,buy
2017-07-17,0.874643875,0.868422806,0.875503673,0,1,,
2017-07-18,0.872507123,0.867532492,0.875574822,0,1,,
2017-07-19,0.862688713,0.867304659,0.875451197,1,0,buy,sell
2017-07-20,0.86618705,0.867092227,0.875352227,1,0,,
2017-07-21,0.86825054,0.866916263,0.87523325,0,1,sell,buy
2017-07-24,0.871201158,0.866923811,0.875175336,0,1,,
2017-07-25,0.876363636,0.86690979,0.875176454,0,0,,sell
2017-07-26,0.878172589,0.867008707,0.875221794,0,0,,
2017-07-27,0.895457823,0.867346828,0.875430478,0,0,,
2017-07-28,0.901146132,0.867694332,0.875696109,0,0,,
2017-07-31,0.894548063,0.86806687,0.875897562,0,0,,
2017-08-01,0.901162791,0.868467365,0.876138629,0,0,,
2017-08-02,0.902298851,0.869172801,0.876348966,0,0,,
2017-08-03,0.900353357,0.869787839,0.876464403,0,0,,
2017-08-04,0.894736842,0.870239994,0.876516399,0,0,,
2017-08-07,0.894067797,0.870675925,0.876538958,0,0,,
2017-08-08,0.904109589,0.871428745,0.876728802,0,0,,
2017-08-09,0.905977166,0.872299908,0.877003304,0,0,,
2017-08-10,0.968339247,0.874355172,0.877704348,0,0,,
2017-08-11,0.97212331,0.875081037,0.878448369,0,0,,
2017-08-14,0.916996047,0.87516942,0.878837889,0,0,,
2017-08-15,0.919920582,0.876061267,0.879251949,0,0,,
2017-08-16,0.910187668,0.877067127,0.879635326,0,0,,
2017-08-17,0.978181758,0.879188098,0.880482282,0,0,,
2017-08-18,0.955433455,0.881029215,0.881203042,0,0,,
2017-08-21,0.941582915,0.882653438,0.881791628,0,0,,
2017-08-22,0.909272849,0.883836736,0.882132597,0,0,,
2017-08-23,0.9227302,0.885088272,0.88252272,0,0,,
