Date,Open,High,Low,Close,Adj Close,Volume
2011-10-04,19.745001,21.049999,19.65,21.049999,21.049999,40600
2011-10-05,21.764999,22.82,21.725,22.695,22.695,17800
2011-10-06,22.715,23.165001,22.4,23.165001,23.165001,11200
2011-10-07,23.594999,23.594999,22.389999,23.344999,23.344999,36400
2011-10-10,23.75,24.299999,23.700001,24.299999,24.299999,30000
2011-10-11,24.125,24.825001,24.120001,24.629999,24.629999,32800
2011-10-12,25.58,26.75,25.5,26.344999,26.344999,27600
2011-10-13,26,26.135,25.469999,26.135,26.135,29200
2011-10-14,27.695,27.889999,27.004999,27.875,27.875,26400
2011-10-17,27.450001,27.455,24.809999,24.809999,24.809999,21200
2011-10-18,24.75,26.135,24.145,25.67,25.67,20800
2011-10-19,25.889999,25.905001,23.605,23.959999,23.959999,39600
2011-10-20,23.825001,23.825001,22.924999,23.754999,23.754999,20600
2011-10-21,24.639999,24.924999,24.33,24.924999,24.924999,15000
2011-10-24,25.469999,26.530001,25.469999,26.530001,26.530001,20600
2011-10-25,26.115,26.115,24.725,24.73,24.73,36800
2011-10-26,25.65,25.754999,24.42,25.559999,25.559999,44800
2011-10-27,28.35,29.275,27.825001,28.915001,28.915001,63800
2011-10-28,28.415001,29.389999,28.290001,29.389999,29.389999,46200
2011-10-31,27.879999,28.08,26.219999,26.219999,26.219999,95400
2011-11-01,22.200001,23.264999,21.535,22.315001,22.315001,270800
2011-11-02,23.235001,23.24,22.34,23.055,23.055,44400
2011-11-03,23.719999,24.219999,22.315001,24.18,24.18,124400
2011-11-04,23.525,24.1,22.764999,23.705,23.705,107200
2011-11-07,23.514999,23.879999,23.01,23.860001,23.860001,41200
2011-11-08,24.225,25.004999,23.535,25.004999,25.004999,73400
2011-11-09,23.105,23.315001,20.110001,20.209999,20.209999,138600
2011-11-10,21.370001,21.5,20.360001,21.450001,21.450001,97800
2011-11-11,22.299999,22.615,22.215,22.375,22.375,147400
2011-11-14,22.07,22.075001,21.43,21.82,21.82,51000
2011-11-15,21.424999,22.219999,21.254999,22.045,22.045,241600
2011-11-16,21.334999,22.139999,20.875,20.995001,20.995001,174800
2011-11-17,20.785,20.934999,19.584999,19.985001,19.985001,421800
2011-11-18,20.5,20.65,19.975,20.625,20.625,431800
2011-11-21,19.535,20.514999,19.5,20.42,20.42,237400
2011-11-22,20.215,20.855,20.120001,20.834999,20.834999,207800
2011-11-23,20.379999,20.469999,19.85,19.889999,19.889999,291800
2011-11-25,19.870001,20.200001,19.559999,19.625,19.625,69200
2011-11-28,20.915001,20.98,20.33,20.504999,20.504999,147000
2011-11-29,20.709999,21.035,20.445,20.889999,20.889999,135800
2011-11-30,22.309999,22.809999,22.15,22.809999,22.809999,176800
2011-12-01,22.77,23.475,22.715,23.275,23.275,225200
2011-12-02,23.959999,24.344999,23.360001,23.379999,23.379999,186800
2011-12-05,24.245001,24.305,23.209999,23.41,23.41,113800
2011-12-06,23.395,23.815001,23.305,23.504999,23.504999,95400
