Date,ratio,ma_60,ma_150
2008-12-18,1.0462184873949578,,
2008-12-19,0.9502955988613969,,
2008-12-22,0.9655400927766733,,
2008-12-23,0.9782274026830877,,
2008-12-24,0.9755881047492232,,
2008-12-26,1.0366456834532374,,
2008-12-29,1.0512762593178224,,
2008-12-30,1.037132181223727,,
2008-12-31,1.0377313145878395,,
2009-01-04,1.0160566706021252,,
2009-01-05,0.9851566794942276,,
2009-01-06,0.9646910466582599,,
2009-01-07,0.9611682708264189,,
2009-01-09,0.9793847129717729,,
2009-01-10,0.9675546448087431,,
2009-01-12,0.9240459429418304,,
2009-01-13,1.0605174353205848,,
2009-01-14,1.0647058823529412,,
2009-01-15,1.0721542608335062,,
2009-01-16,1.040825005315756,,
2009-01-20,1.0695906432748539,,
2009-01-21,1.056907129257457,,
2009-01-22,1.0452460383653044,,
2009-01-23,1.048873778155546,,
2009-01-26,1.0398685651697699,,
2009-01-27,1.0242575379732488,,
2009-01-28,1.0124760076775432,,
2009-01-29,1.0215911757803333,,
2009-01-30,1.018730013704888,,
2009-02-01,1.0344299923488907,,
2009-02-02,1.0145563770794823,,
2009-02-03,1.0377398720682303,,
2009-02-04,1.0114942528735633,,
2009-02-06,0.9658875552747946,,
2009-02-07,0.9782121115027235,,
2009-02-09,0.9816571790006324,,
2009-02-10,0.9710047201618341,,
2009-02-11,0.9816076294277929,,
2009-02-12,0.9191994069681245,,
2009-02-13,1.0160287081339714,,
2009-02-17,1.0423748017221843,,
2009-02-18,1.0538478797397353,,
2009-02-19,1.0337562301767105,,
2009-02-20,1.0397965951801902,,
2009-02-23,1.0686586141131595,,
2009-02-24,1.0334478808705614,,
2009-02-25,1.0171821305841924,,
2009-02-26,1.0153987589059987,,
2009-02-27,1.02633371169126,,
2009-03-02,1.001659947830211,,
2009-03-03,1.0509098786828424,,
2009-03-04,0.9941902687000725,,
2009-03-06,0.9790145985401458,,
2009-03-08,0.9628214037526059,,
2009-03-09,0.9704918032786886,,
2009-03-11,0.9846521145975443,,
2009-03-12,0.9289876183539695,,
2009-03-13,1.0244917952485917,,
2009-03-16,1.0264884568651276,,
2009-03-17,1.0101061141990904,1.0104814162401003,
2009-03-18,1.0037735849056604,1.009774001198612,
2009-03-19,1.0242107761690007,1.0110059208204054,
2009-03-20,1.0454032075897899,1.0123369727339575,
2009-03-23,1.0222168558319247,1.013070130286438,
2009-03-24,1.0445189085686932,1.0142189770167627,
2009-03-25,1.0312576913610632,1.0141291771485597,
2009-03-26,1.008428358948934,1.013415045475745,
2009-03-27,1.0132402503610978,1.0130168466280345,
2009-03-30,1.0267001369237791,1.0128329936669667,
2009-03-31,1.0379422718808193,1.0131977536882784,
2009-04-02,1.003812246842983,1.0135086798107578,
2009-04-03,1.031603229527105,1.0146238828585719,
2009-04-05,0.9819413092550789,1.014970100165716,
2009-04-06,0.970199692780338,1.014817016495859,
2009-04-08,0.9557584269662921,1.0146204128651515,
2009-04-09,0.9598921469497809,1.0152178495986173,
2009-04-11,0.9703856749311295,1.0137156535921263,
2009-04-12,0.919079435783222,1.0112885461492978,
2009-04-13,0.9647147147147146,1.009497887047318,
2009-04-14,0.9624378109452735,1.00819143380781,
2009-04-15,0.9641950228542406,1.006434840134133,
2009-04-16,0.9572649572649573,1.0047741372675913,
2009-04-17,0.9759935982928781,1.0036199299330508,
2009-04-20,1.001016002032004,1.0028223003309917,
2009-04-21,0.9864229765013056,1.0019315405198508,
2009-04-22,0.9884467265725289,1.001334693663172,
2009-04-23,0.9852140077821011,1.000880326998248,
2009-04-24,0.9864336029219933,1.000294367450609,
2009-04-27,0.9935699588477366,0.9998750332029898,
2009-04-28,0.991223541559112,0.9991549256898267,
2009-04-29,0.9767130620985012,0.9985242037734772,
2009-04-30,0.9970141150922908,0.9978454411572115,
2009-05-01,1.0386768447837151,0.9982984843557141,
2009-05-02,1.0162213740458015,0.9991373813352308,
2009-05-03,1.045912653975364,1.0002657237097747,
2009-05-05,0.9663556686457451,1.0000106985371933,
2009-05-06,0.9678407350689128,0.9999579654523113,
2009-05-08,0.9486731843575419,0.9994090580344737,
2009-05-10,0.9610163592064044,1.000106007238445,
2009-05-11,0.9530802292263609,0.9990568659233181,
2009-05-13,0.9788773148148147,0.997998574474862,
2009-05-14,0.9731442365721182,0.9966535137554017,
2009-05-15,0.9813884785819792,0.9957807178954894,
2009-05-18,0.9692737430167598,0.9946053370260989,
2009-05-19,0.9657142857142857,0.9928895982194509,
2009-05-20,0.9681889763779528,0.9918019498112407,
2009-05-21,0.9812178127840049,0.9912025445145709,
2009-05-22,0.9798339264531435,0.9906097973070234,
2009-05-26,0.9758588672237697,0.9897685498992319,
2009-05-27,0.9806704922983993,0.9894187256403684,
2009-05-28,0.9732766474339507,0.9881248384528868,
2009-05-29,0.9569182389937106,0.9875036379577807,
2009-06-01,1.0418712845696563,0.9885512493916059,
2009-06-02,1.0463096960926195,0.9899427209306062,
2009-06-03,1.053729313080934,0.9913300127606436,
2009-06-04,0.9894256188416246,0.9914095711647115,
2009-06-05,0.9714618520675596,0.9921174750599381,
2009-06-07,0.9802610633556192,0.9913802961950552,
2009-06-08,0.9631669535283993,0.9903249378061098,
2009-06-10,0.9526015680684249,0.989366528703932,
2009-06-11,0.9421186749180924,0.9883389468708059,
2009-06-15,0.9640110735158414,0.9873356184932532,
2009-06-16,0.9861654135338346,0.9863483219256539,
2009-06-17,0.9939558779087336,0.985877305626934,
2009-06-18,0.9707332101047443,0.9846475439858683,
2009-06-19,0.9515527950310558,0.9833191290470348,
