Date,ratio,ma_60,ma_150,signal,signal_50,bs,bs_50
2018-05-01,0.9352876106194691,0.984512463165039,0.9101104560891748,0,1,,buy
2018-05-02,0.9421397379912665,0.9811177113440517,0.9106430433049223,0,1,,
2018-05-03,0.9377753303964759,0.9783706366123434,0.9111723611104023,0,1,,
2018-05-04,0.9332959641255605,0.9762861698379656,0.9116966338250238,0,1,,
2018-05-07,0.9306875349357182,0.9734971064554492,0.9122788901349035,0,1,,
2018-05-08,0.9279279279279279,0.9710448267382858,0.912809619903794,0,1,,
2018-05-09,0.9137232194557036,0.9690181122799388,0.9132256815696903,0,1,,
2018-05-10,0.9055258467023174,0.9666898128629563,0.9135469157462285,1,0,buy,sell
2018-05-11,0.8943874471937237,0.9652755952106998,0.9138112531134849,1,0,,
2018-05-14,0.8936039360393603,0.9637772415673695,0.9140843540624519,1,0,,
2018-05-15,0.926099706744868,0.9628107993081209,0.9145778523305325,0,1,sell,buy
2018-05-16,0.9120481927710843,0.9613698859541059,0.9150486369535048,1,0,buy,sell
2018-05-17,0.9031870114251354,0.9598473656049683,0.9155037172570485,1,0,,
2018-05-18,0.9047051816557475,0.958517383095374,0.9159825489028695,1,0,,
2018-05-21,0.9023341523341523,0.9575394450704838,0.9164976507816078,1,0,,
2018-05-22,0.9073170731707318,0.9566386690172687,0.917049193700352,1,0,,
2018-05-23,0.8943792464484249,0.9550860074445763,0.91748673347264,1,0,,
2018-05-24,0.8929455445544554,0.9533851415413276,0.9179516743037398,1,0,,
2018-05-25,0.9026171637248935,0.9515093296571215,0.9184626763897142,1,0,,
2018-05-29,0.9548494983277591,0.9508486256691441,0.919323113231063,0,0,sell,
2018-05-30,0.9269988412514484,0.9498966254823512,0.9198689865386204,0,1,,buy
2018-05-31,0.9310148232611174,0.9490529949856827,0.9203646859914181,0,1,,
2018-06-01,0.9083878643664486,0.948040529350638,0.9206650495316389,1,0,buy,sell
2018-06-04,0.904675166970249,0.9470697199865828,0.9209264716621768,1,0,,
2018-06-05,0.902513795217658,0.9463177447072486,0.9213124752325045,1,0,,
2018-06-06,0.8885410144020037,0.9452197017390602,0.921554726062981,1,0,,
2018-06-07,0.8985056039850561,0.9442439291084118,0.9218917953863517,1,0,,
2018-06-08,0.9051456912585245,0.9431956700108305,0.9222447440625384,1,0,,
2018-06-11,0.9026054590570719,0.9423573570181396,0.922588735713523,1,0,,
2018-06-12,0.9022881880024736,0.9415759821597182,0.9230131732846761,1,0,,
2018-06-13,0.9080949482653682,0.9403149588778466,0.9234316318727532,1,0,,
2018-06-14,0.8949658172778123,0.939127336965196,0.9237719683618364,1,0,,
2018-06-15,0.883578431372549,0.9378539862104935,0.9240170825153216,1,0,,
2018-06-18,0.8856269113149846,0.9357767481652458,0.9242440098178015,1,0,,
2018-06-19,0.8981645944345766,0.9341305266930778,0.9245288615661585,1,0,,
2018-06-20,0.8952784503631961,0.9325446571656382,0.9247358090395624,1,0,,
2018-06-21,0.9226744186046512,0.9313013520211703,0.9251367138323242,1,0,,
2018-06-22,0.9160756501182032,0.9298876584673603,0.9253985897772911,1,0,,
2018-06-25,0.9589490968801314,0.9295993595673816,0.9259966480985425,0,0,sell,
2018-06-26,0.9482855536818439,0.9285583209151317,0.9265613552941352,0,0,,
2018-06-27,0.967309753483387,0.9282016302276566,0.9273019417014111,0,0,,
2018-06-28,0.9579004920721707,0.9278436967821767,0.9280764985253754,0,0,,
2018-06-29,0.9474847982310669,0.9273989782761255,0.9288083275955131,0,0,,
2018-07-02,0.9432387312186978,0.9266164321414473,0.929501991209043,0,0,,
2018-07-03,0.9517279210093254,0.9258588679002453,0.93021133628208,0,0,,
2018-07-05,0.9376063528077142,0.9251000982783658,0.9308707944463892,0,0,,
2018-07-06,0.9203280609256005,0.9241167839091771,0.9313723882430236,1,0,buy,
2018-07-09,0.9128299570288521,0.9232478671102419,0.9317197474725009,1,0,,
2018-07-10,0.9130974549968964,0.9224885525143676,0.9320205714644192,1,0,,
2018-07-11,0.9298669891172915,0.9221632136631258,0.9323039458035683,0,0,sell,
2018-07-12,0.9167701863354036,0.9219130440011064,0.9325428344455008,1,0,buy,
2018-07-13,0.9144654088050314,0.921537848592921,0.9327787040553992,1,0,,
2018-07-16,0.9223602484472049,0.921241473088824,0.9331695893456484,0,0,sell,
2018-07-17,0.9096651926721415,0.9205669921624035,0.9335484204955184,1,0,buy,
2018-07-18,0.9061712846347607,0.919937166456552,0.9339201256433144,1,0,,
2018-07-19,0.9229346485819976,0.9193281825294098,0.9343704873169772,0,0,sell,
2018-07-20,0.9189518586227909,0.9186443979017521,0.9348317525969869,0,0,,
2018-07-23,0.915024630541872,0.9181393865044591,0.9351505256533545,1,0,buy,
2018-07-24,0.9136109384711,0.9177423789111034,0.9356408943576726,1,0,,
2018-07-25,0.9156702328508496,0.917237046458072,0.9361104419417576,1,0,,
2018-07-26,0.9073724007561438,0.91677179296035,0.9364355006830146,1,0,,
2018-07-27,0.9247842170160296,0.9164825342774294,0.9368897408001483,0,0,sell,
2018-07-30,0.9388489208633094,0.9165004274518765,0.9374548654639028,0,0,,
2018-07-31,0.9173349784083897,0.9162344110232571,0.9378905775073165,0,0,,
2018-08-01,0.9274832419256551,0.916181006139756,0.9383967860747201,0,0,,
2018-08-02,0.9179104477611941,0.9160140481369772,0.9387947960249687,0,0,,
2018-08-03,0.9113207547169812,0.9159740070579985,0.9391649245529499,1,0,buy,
2018-08-06,0.9075255102040817,0.9160073347830279,0.9394396699573989,1,0,,
