Date,Adj Close
01/12/2016,41.900002
02/12/2016,41.849998
05/12/2016,44.73
06/12/2016,46.060001
07/12/2016,45.950001
08/12/2016,45.700001
09/12/2016,46.380001
12/12/2016,45.880001
13/12/2016,45.439999
14/12/2016,45.66
15/12/2016,46.279999
16/12/2016,46.970001
19/12/2016,48.549999
20/12/2016,49.529999
21/12/2016,50.34
22/12/2016,49.439999
23/12/2016,49.59
27/12/2016,50.43
28/12/2016,48.509998
29/12/2016,47.77
30/12/2016,46.75
03/01/2017,50.290001
04/01/2017,52.860001
05/01/2017,52.990002
06/01/2017,53.669998
09/01/2017,53.75
10/01/2017,54.169998
11/01/2017,55.34
12/01/2017,55.369999
13/01/2017,55.279999
17/01/2017,55.41
18/01/2017,55.549999
19/01/2017,55.099998
20/01/2017,57.25
23/01/2017,57.720001
24/01/2017,60.450001
25/01/2017,61.919998
26/01/2017,61.52
27/01/2017,62.330002
30/01/2017,60.389999
31/01/2017,60.75
01/02/2017,61.93
02/02/2017,61.259998
03/02/2017,62.689999
06/02/2017,62.549999
07/02/2017,62.099998
08/02/2017,62.349998
09/02/2017,63.759998
10/02/2017,64.639999
13/02/2017,66.699997
14/02/2017,69.809998
15/02/2017,67.160004
16/02/2017,66.650002
17/02/2017,66.540001
21/02/2017,65.860001
22/02/2017,65.720001
23/02/2017,63.889999
24/02/2017,64.519997
27/02/2017,65.019997
28/02/2017,63.299999
01/03/2017,64.660004
02/03/2017,64.690002
03/03/2017,66.419998
06/03/2017,67.699997
07/03/2017,67.709999
08/03/2017,67.209999
09/03/2017,67.550003
10/03/2017,68.419998
13/03/2017,69.989998
14/03/2017,68.559998
15/03/2017,71.25
16/03/2017,72.650002
17/03/2017,73.580002
20/03/2017,73.400002
21/03/2017,70.650002
22/03/2017,70.269997
23/03/2017,67.760002
24/03/2017,69.160004
27/03/2017,70.589996
28/03/2017,74.400002
29/03/2017,74.760002
30/03/2017,74.489998
31/03/2017,73.029999
03/04/2017,72.620003
04/04/2017,73.540001
05/04/2017,71.089996
06/04/2017,72.300003
07/04/2017,69.669998
10/04/2017,67.260002
11/04/2017,64.050003
12/04/2017,64.019997
13/04/2017,62.759998
17/04/2017,65.839996
18/04/2017,66.290001
19/04/2017,64.699997
20/04/2017,66.389999
21/04/2017,66.260002
24/04/2017,73.260002
25/04/2017,75.029999
26/04/2017,74.360001
27/04/2017,75.089996
28/04/2017,75.089996
01/05/2017,78.040001
02/05/2017,77.709999
03/05/2017,76.190002
04/05/2017,78.110001
05/05/2017,77.629997
08/05/2017,79.489998
09/05/2017,79.860001
10/05/2017,79.599998
11/05/2017,79.82
