Date,svxy,strat,n,capital,cash,spx,strat_ret,spx_ret,ex_ret
2015-05-11,161.100006,213.97711457448034,1.3282253668847184,213.97711457448034,0.0,2105.330078,0.0043641647517767,-0.005089560749124811,0.009453725500901511
2015-05-12,163.940002,213.97711457448034,0.0,0.0,213.97711457448034,2099.1201170000004,0.0,-0.002949637714718234,0.002949637714718234
2015-05-13,167.279999,213.97711457448034,0.0,0.0,213.97711457448034,2098.47998,0.0,-0.00030495491649862316,0.00030495491649862316
2015-05-14,168.600006,213.97711457448034,1.2691406106740015,213.97711457448034,0.0,2121.100098,0.0,0.01077928701516595,-0.01077928701516595
2015-05-15,174.300003,221.2112122479003,1.2691406106740015,221.2112122479003,0.0,2122.72998,0.03380781018477541,0.0007684135234999889,0.03303939666127542
2015-05-18,176.580002,224.10485157109642,1.2691406106740015,224.10485157109642,0.0,2129.199951,0.01308088904622684,0.003047948189811578,0.010032940856415262
2015-05-19,176.100006,223.49566915453534,1.2691406106740015,223.49566915453534,0.0,2127.830078,-0.0027182919615098555,-0.000643374521663298,-0.0020749174398465575
2015-05-20,181.0,229.7144505319943,1.2691406106740015,229.7144505319943,0.0,2125.850098,0.027825064355761597,-0.0009305160315531413,0.02875558038731474
2015-05-21,180.639999,229.257558643011,1.2691406106740015,229.257558643011,0.0,2130.820068,-0.001988955801105141,0.0023378741542858794,-0.0043268299553910206
2015-05-22,173.619995,220.34818647951707,1.2691406106740015,220.34818647951707,0.0,2126.060059,-0.038861846982184756,-0.0022338859444231973,-0.03662796103776156
2015-05-26,180.100006,228.57223159723134,1.2691406106740015,228.57223159723134,0.0,2104.199951,0.037322953499681955,-0.01028198046779627,0.047604933967478225
2015-05-27,178.380005,226.38930847773145,1.2691406106740015,226.38930847773145,0.0,2123.47998,-0.009550255095494009,0.009162641122027138,-0.018712896217521147
2015-05-28,177.0,224.63788808929826,1.2691406106740015,224.63788808929826,0.0,2120.790039,-0.007736321119623302,-0.0012667607066396691,-0.006469560412983633
2015-05-29,178.800003,226.92234499593332,1.2691406106740015,226.92234499593332,0.0,2107.389893,0.010169508474576316,-0.0063184689448647635,0.01648797741944108
2015-06-01,176.080002,223.4702812657594,1.2691406106740015,223.4702812657594,0.0,2111.72998,-0.015212533301803166,0.0020594608593389463,-0.017271994161142112
2015-06-02,179.0,227.17616931064626,1.2691406106740015,227.17616931064626,0.0,2109.600098,0.016583359648076224,-0.0010085958054164568,0.01759195545349268
2015-06-03,172.860001,219.38364723024853,1.2691406106740015,219.38364723024853,0.0,2114.070068,-0.034301670391061356,0.0021188707775647853,-0.03642054116862614
2015-06-04,175.639999,219.38364723024853,0.0,0.0,219.38364723024853,2095.840088,0.0,-0.00862316735662716,0.00862316735662716
2015-06-05,171.979996,219.38364723024853,0.0,0.0,219.38364723024853,2092.830078,0.0,-0.0014361830452781499,0.0014361830452781499
2015-06-08,174.059998,219.38364723024853,0.0,0.0,219.38364723024853,2079.280029,0.0,-0.006474509871794765,0.006474509871794765
2015-06-09,181.53999299999998,219.38364723024853,0.0,0.0,219.38364723024853,2080.149902,0.0,0.0004183529817378684,-0.0004183529817378684
2015-06-10,185.33999599999999,219.38364723024853,0.0,0.0,219.38364723024853,2105.199951,0.0,0.01204242491174079,-0.01204242491174079
2015-06-11,183.100006,219.38364723024853,0.0,0.0,219.38364723024853,2108.860107,0.0,0.0017386262992553636,-0.0017386262992553636
2015-06-12,175.03999299999998,219.38364723024853,0.0,0.0,219.38364723024853,2094.110107,0.0,-0.006994299883164357,0.006994299883164357
2015-06-15,178.220001,219.38364723024853,0.0,0.0,219.38364723024853,2084.429932,0.0,-0.004622572121514512,0.004622572121514512
2015-06-16,178.66000400000001,219.38364723024853,0.0,0.0,219.38364723024853,2096.290039,0.0,0.0056898564053051714,-0.0056898564053051714
2015-06-17,183.83999599999999,219.38364723024853,0.0,0.0,219.38364723024853,2100.439941,0.0,0.0019796411387709156,-0.0019796411387709156
2015-06-18,181.779999,219.38364723024853,0.0,0.0,219.38364723024853,2121.23999,0.0,0.00990271066265147,-0.00990271066265147
2015-06-19,189.779999,219.38364723024853,0.0,0.0,219.38364723024853,2109.98999,0.0,-0.005303501750407835,0.005303501750407835
2015-06-22,194.800003,219.38364723024853,1.126199403755905,219.38364723024853,0.0,2122.850098,0.0,0.006094866829202239,-0.006094866829202239
2015-06-23,190.899994,214.99145941980586,1.126199403755905,214.99145941980586,0.0,2124.199951,-0.020020579773810332,0.0006358682609157729,-0.020656448034726105
2015-06-24,189.199997,214.99145941980586,0.0,0.0,214.99145941980586,2108.580078,0.0,-0.007353296940171172,0.007353296940171172
2015-06-25,190.259995,214.99145941980586,0.0,0.0,214.99145941980586,2102.310059,0.0,-0.002973574048915073,0.002973574048915073
2015-06-26,158.880005,214.99145941980586,0.0,0.0,214.99145941980586,2101.48999,0.0,-0.0003900799487159823,0.0003900799487159823
2015-06-29,158.119995,214.99145941980586,0.0,0.0,214.99145941980586,2057.639893,0.0,-0.020866193609611283,0.020866193609611283
2015-06-30,169.479996,214.99145941980586,0.0,0.0,214.99145941980586,2063.110107,0.0,0.0026584894755439237,-0.0026584894755439237
2015-07-01,158.940002,214.99145941980586,0.0,0.0,214.99145941980586,2077.419922,0.0,0.0069360403748921495,-0.0069360403748921495
2015-07-02,154.919998,214.99145941980586,0.0,0.0,214.99145941980586,2076.780029,0.0,-0.0003080229438562343,0.0003080229438562343
2015-07-06,163.020004,214.99145941980586,0.0,0.0,214.99145941980586,2068.76001,0.0,-0.003861756607829947,0.003861756607829947
2015-07-07,146.679993,214.99145941980586,0.0,0.0,214.99145941980586,2081.340088,0.0,0.0060809750474632995,-0.0060809750474632995
2015-07-08,145.360001,214.99145941980586,0.0,0.0,214.99145941980586,2046.680054,0.0,-0.016652748966799358,0.016652748966799358
2015-07-09,156.16000400000001,214.99145941980586,0.0,0.0,214.99145941980586,2051.310059,0.0,0.0022622026295469055,-0.0022622026295469055
2015-07-10,171.360001,214.99145941980586,0.0,0.0,214.99145941980586,2076.6201170000004,0.0,0.012338484808259054,-0.012338484808259054
2015-07-13,172.619995,214.99145941980586,0.0,0.0,214.99145941980586,2099.600098,0.0,0.011066049496427643,-0.011066049496427643
2015-07-14,172.940002,214.99145941980586,0.0,0.0,214.99145941980586,2108.949951,0.0,0.004453158965322279,-0.004453158965322279
2015-07-15,184.96000700000002,214.99145941980586,0.0,0.0,214.99145941980586,2107.399902,0.0,-0.0007349861476158015,0.0007349861476158015
2015-07-16,186.240005,214.99145941980586,1.1543785097074384,214.99145941980586,0.0,2124.290039,0.0,0.00801468054732779,-0.00801468054732779
2015-07-17,186.919998,215.77642872575734,1.1543785097074384,215.77642872575734,0.0,2126.639893,0.0036511650652071292,0.0011061832220924384,0.002544981843114691
2015-07-20,188.33999599999999,215.77642872575734,0.0,0.0,215.77642872575734,2128.280029,0.0,0.000771233533894744,-0.000771233533894744
2015-07-21,189.179993,215.7764287257573,1.140587994026183,215.7764287257573,0.0,2119.209961,-1.1102230246251565e-16,-0.0042616891933443535,0.0042616891933442425
2015-07-22,187.020004,213.3127712051287,1.140587994026183,213.3127712051287,0.0,2114.149902,-0.011417639707809846,-0.0023877100868345824,-0.009029929620975263
2015-07-23,180.440002,205.80769992326043,1.140587994026183,205.80769992326043,0.0,2102.149902,-0.03518341278615311,-0.005676040279191108,-0.029507372506962004
2015-07-24,171.080002,205.80769992326043,0.0,0.0,205.80769992326043,2079.649902,0.0,-0.010703328044585847,0.010703328044585847
2015-07-27,183.720001,205.80769992326043,0.0,0.0,205.80769992326043,2067.639893,0.0,-0.005775014817854696,0.005775014817854696
2015-07-28,186.440002,205.80769992326043,0.0,0.0,205.80769992326043,2093.25,0.0,0.012386154420169104,-0.012386154420169104
2015-07-29,187.880005,205.80769992326043,1.0954209838522222,205.80769992326043,0.0,2108.570068,0.0,0.007318795174967141,-0.007318795174967141
2015-07-30,188.03999299999998,205.98295413562496,1.0954209838522222,205.98295413562496,0.0,2108.6298829999996,0.0008515435157667728,2.836756572976995e-05,0.0008231759500370028
2015-07-31,191.059998,209.29113098396363,1.0954209838522222,209.29113098396363,0.0,2103.840088,0.016060439866108833,-0.002271520022843032,0.018331959888951865
2015-08-03,189.940002,208.06426386373303,1.0954209838522222,208.06426386373303,0.0,2098.040039,-0.005862011994787308,-0.0027568868152492154,-0.003105125179538093
2015-08-04,191.679993,209.97028651684707,1.0954209838522222,209.97028651684707,0.0,2093.320068,0.00916074013729884,-0.0022497049209078135,0.011410445058206653
2015-08-05,184.66000400000001,202.2804432598353,1.0954209838522222,202.2804432598353,0.0,2099.840088,-0.03662348318220143,0.003114678973210827,-0.03973816215541226
2015-08-06,186.559998,202.2804432598353,0.0,0.0,202.2804432598353,2083.560059,0.0,-0.007752985140647484,0.007752985140647484
2015-08-07,193.520004,202.2804432598353,0.0,0.0,202.2804432598353,2077.570068,0.0,-0.0028748828113334124,0.0028748828113334124
2015-08-10,184.619995,202.2804432598353,1.0956583725388753,202.2804432598353,0.0,2104.179932,0.0,0.012808166814617383,-0.012808166814617383
2015-08-11,184.880005,202.2804432598353,0.0,0.0,202.2804432598353,2084.070068,0.0,-0.009557102838104625,0.009557102838104625
2015-08-12,186.880005,202.2804432598353,0.0,0.0,202.2804432598353,2086.050049,0.0,0.0009500549095742272,-0.0009500549095742272
2015-08-13,187.320007,202.2804432598353,0.0,0.0,202.2804432598353,2083.389893,0.0,-0.001275211973593371,0.001275211973593371
2015-08-14,189.580002,202.2804432598353,1.0669925156970685,202.2804432598353,0.0,2091.540039,0.0,0.003911963875500968,-0.003911963875500968
2015-08-17,187.33999599999999,199.89037362271876,1.0669925156970685,199.89037362271876,0.0,2102.439941,-0.01181562388632118,0.005211424020938882,-0.017027047907260062
2015-08-18,183.679993,195.98517781428993,1.0669925156970685,195.98517781428993,0.0,2096.919922,-0.019536687723640256,-0.0026255299342222704,-0.016911157789417985
2015-08-19,168.199997,195.98517781428993,0.0,0.0,195.98517781428993,2079.610107,0.0,-0.008254876506438191,0.008254876506438191
2015-08-20,140.779999,195.98517781428993,0.0,0.0,195.98517781428993,2035.72998,0.0,-0.02110017010029852,0.02110017010029852
2015-08-21,114.279999,195.98517781428993,0.0,0.0,195.98517781428993,1970.890015,0.0,-0.03185096532301401,0.03185096532301401
2015-08-24,102.32,195.98517781428993,0.0,0.0,195.98517781428993,1893.209961,0.0,-0.03941369300610109,0.03941369300610109
2015-08-25,112.040001,195.98517781428993,0.0,0.0,195.98517781428993,1867.609985,0.0,-0.013521995197235293,0.013521995197235293
2015-08-26,109.599998,195.98517781428993,0.0,0.0,195.98517781428993,1940.5100100000002,0.0,0.03903385909558632,-0.03903385909558632
2015-08-27,104.239998,195.98517781428993,0.0,0.0,195.98517781428993,1987.660034,0.0,0.024297748404812358,-0.024297748404812358
2015-08-28,100.120003,195.98517781428993,0.0,0.0,195.98517781428993,1988.869995,0.0,0.0006087363931974732,-0.0006087363931974732
2015-08-31,85.760002,195.98517781428993,0.0,0.0,195.98517781428993,1972.180054,0.0,-0.00839167016544995,0.00839167016544995
2015-09-01,95.779999,195.98517781428993,0.0,0.0,195.98517781428993,1913.8499760000002,0.0,-0.029576446573269966,0.029576446573269966
2015-09-02,95.839996,195.98517781428993,0.0,0.0,195.98517781428993,1948.859985,0.0,0.018292974600429,-0.018292974600429
2015-09-03,88.800003,195.98517781428993,0.0,0.0,195.98517781428993,1951.130005,0.0,0.0011647937858398905,-0.0011647937858398905
2015-09-04,96.459999,195.98517781428993,0.0,0.0,195.98517781428993,1921.219971,0.0,-0.015329595630917514,0.015329595630917514
2015-09-08,94.160004,195.98517781428993,0.0,0.0,195.98517781428993,1969.410034,0.0,0.025083053334552297,-0.025083053334552297
2015-09-09,96.559998,195.98517781428993,0.0,0.0,195.98517781428993,1942.040039,0.0,-0.01389756045083701,0.01389756045083701
2015-09-10,98.760002,195.98517781428993,0.0,0.0,195.98517781428993,1952.290039,0.0,0.00527795503396411,-0.00527795503396411
2015-09-11,98.540001,195.98517781428993,0.0,0.0,195.98517781428993,1961.050049,0.0,0.004487043331167673,-0.004487043331167673
2015-09-14,108.540001,195.98517781428993,0.0,0.0,195.98517781428993,1953.030029,0.0,-0.004089655949418347,0.004089655949418347
