,,,,bench,,,strat
2012-02-01,0.184295611,,2013-02-15,0.683107429,,2013-02-15,1.001772648
2012-02-02,0.185390758,,2013-02-19,0.578346503,,2013-02-19,0.904348198
2012-02-03,0.199996115,,2013-02-20,0.590750641,,2013-02-20,0.904348198
2012-02-06,0.199572241,,2013-02-21,0.597053698,,2013-02-21,0.904348198
2012-02-07,0.201595623,,2013-02-22,0.58828123,,2013-02-22,0.904348198
2012-02-08,0.203755834,,2013-02-25,0.606590811,,2013-02-25,0.904348198
2012-02-09,0.205229944,,2013-02-26,0.600481347,,2013-02-26,0.904348198
2012-02-10,0.198343642,,2013-02-27,0.587755353,,2013-02-27,0.904348198
2012-02-13,0.205143681,,2013-02-28,0.588619433,,2013-02-28,0.904348198
2012-02-14,0.204204158,,2013-03-01,0.586295578,,2013-03-01,0.904348198
2012-02-15,0.198820951,,2013-03-04,0.581684854,,2013-03-04,0.904348198
2012-02-16,0.209846657,,2013-03-05,0.572118838,,2013-03-05,0.904348198
2012-02-17,0.212195587,,2013-03-06,0.571034325,,2013-03-06,0.904348198
2012-02-21,0.212915511,,2013-03-07,0.569217833,,2013-03-07,0.904348198
2012-02-22,0.209575404,,2013-03-08,0.564736694,,2013-03-08,0.904348198
2012-02-23,0.213847406,,2013-03-11,0.561487609,,2013-03-11,0.904348198
2012-02-24,0.215519644,,2013-03-12,0.563890862,,2013-03-12,0.904348198
2012-02-27,0.216874203,,2013-03-13,0.56257681,,2013-03-13,0.904348198
2012-02-28,0.220230537,,2013-03-14,0.55697382,,2013-03-14,0.904348198
2012-02-29,0.215493549,,2013-03-15,0.506866255,,2013-03-15,0.852622171
2012-03-01,0.221651589,,2013-03-18,0.512376587,,2013-03-18,0.852622171
2012-03-02,0.218405832,,2013-03-19,0.514799118,,2013-03-19,0.852622171
2012-03-05,0.214536138,,2013-03-20,0.508101625,,2013-03-20,0.852622171
2012-03-06,0.199165977,,2013-03-21,0.516384059,,2013-03-21,0.852622171
2012-03-07,0.2060666,,2013-03-22,0.509209803,,2013-03-22,0.852622171
2012-03-08,0.215884532,,2013-03-25,0.512549842,,2013-03-25,0.852622171
2012-03-09,0.219515782,,2013-03-26,0.504764731,,2013-03-26,0.852622171
2012-03-12,0.219676243,,2013-03-27,0.50338065,,2013-03-27,0.850649741
2012-03-13,0.237807792,,2013-03-28,0.500421917,,2013-03-28,0.851747676
2012-03-14,0.23661153,,2013-04-01,0.504895497,,2013-04-01,0.851747676
2012-03-15,0.242578729,,2013-04-02,0.499723233,,2013-04-02,0.851747676
2012-03-16,0.243698127,,2013-04-03,0.510269362,,2013-04-03,0.851747676
2012-03-19,0.247671974,,2013-04-04,0.50622091,,2013-04-04,0.851747676
2012-03-20,0.244671456,,2013-04-05,0.510515806,,2013-04-05,0.851747676
2012-03-21,0.242800259,,2013-04-08,0.518132949,,2013-04-08,0.865667557
2012-03-22,0.235593717,,2013-04-09,0.539635735,,2013-04-09,0.890714675
2012-03-23,0.238702575,,2013-04-10,0.532967551,,2013-04-10,0.896235624
2012-03-26,0.2525884,,2013-04-11,0.547208895,,2013-04-11,0.914029219
2012-03-27,0.249771625,,2013-04-12,0.434161546,,2013-04-12,0.798145103
2012-03-28,0.244830116,,2013-04-15,0.457127837,,2013-04-15,0.798145103
2012-03-29,0.243222186,,2013-04-16,0.442820613,,2013-04-16,0.798145103
2012-03-30,0.246920622,,2013-04-17,0.457148294,,2013-04-17,0.798145103
2012-04-02,0.254425268,,2013-04-18,0.463849298,,2013-04-18,0.798145103
2012-04-03,0.250436632,,2013-04-19,0.455001396,,2013-04-19,0.798145103
2012-04-04,0.240234108,,2013-04-22,0.450339766,,2013-04-22,0.798145103
2012-04-05,0.239605065,,2013-04-23,0.439920547,,2013-04-23,0.798145103
2012-04-09,0.228246627,,2013-04-24,0.427989544,,2013-04-24,0.786220441
2012-04-10,0.211165173,,2013-04-25,0.423954812,,2013-04-25,0.786220441
2012-04-11,0.218614069,,2013-04-26,0.425796925,,2013-04-26,0.786220441
2012-04-12,0.232393456,,2013-04-29,0.418610914,,2013-04-29,0.786220441
2012-04-13,0.219918455,,2013-04-30,0.416126014,,2013-04-30,0.786220441
2012-04-16,0.219414855,,2013-05-01,0.425433897,,2013-05-01,0.786220441
2012-04-17,0.234901528,,2013-05-02,0.416025914,,2013-05-02,0.786220441
2012-04-18,0.23084624,,2013-05-03,0.422185327,,2013-05-03,0.80291452
2012-04-19,0.224911843,,2013-05-06,0.428163515,,2013-05-06,0.810800487
2012-04-20,0.226081108,,2013-05-07,0.417466965,,2013-05-07,0.805334207
2012-04-23,0.217673538,,2013-05-08,0.39425251,,2013-05-08,0.786258832
2012-04-24,0.221353312,,2013-05-09,0.407278309,,2013-05-09,0.795597527
2012-04-25,0.234997904,,2013-05-10,0.410576072,,2013-05-10,0.803216946
2012-04-26,0.241678069,,2013-05-13,0.418094984,,2013-05-13,0.810778748
2012-04-27,0.244092393,,2013-05-14,0.401091031,,2013-05-14,0.803916948
2012-04-30,0.240208891,,2013-05-15,0.385181256,,2013-05-15,0.793121309
2012-05-01,0.245867276,,2013-05-16,0.416710697,,2013-05-16,0.819641009
2012-05-02,0.243370592,,2013-05-17,0.392802307,,2013-05-17,0.806032716
2012-05-03,0.235711721,,2013-05-20,0.386288542,,2013-05-20,0.798811332
2012-05-04,0.219564512,,2013-05-21,0.373058219,,2013-05-21,0.787303396
2012-05-07,0.219915093,,2013-05-22,0.376609197,,2013-05-22,0.782580716
2012-05-08,0.21563642,,2013-05-23,0.380029586,,2013-05-23,0.783077273
2012-05-09,0.208934153,,2013-05-24,0.394423117,,2013-05-24,0.796919439
2012-05-10,0.211451563,,2013-05-28,0.388082136,,2013-05-28,0.796919439
2012-05-11,0.208064223,,2013-05-29,0.395130118,,2013-05-29,0.796919439
2012-05-14,0.196951359,,2013-05-30,0.391459774,,2013-05-30,0.796919439
2012-05-15,0.191205521,,2013-05-31,0.405767015,,2013-05-31,0.796919439
2012-05-16,0.186801703,,2013-06-03,0.399831027,,2013-06-03,0.796919439
2012-05-17,0.171750326,,2013-06-04,0.405341834,,2013-06-04,0.796919439
2012-05-18,0.16436255,,2013-06-05,0.419121567,,2013-06-05,0.796919439
2012-05-21,0.180398451,,2013-06-06,0.410631273,,2013-06-06,0.796919439
2012-05-22,0.180884788,,2013-06-07,0.397799732,,2013-06-07,0.796919439
2012-05-23,0.182578491,,2013-06-10,0.398146545,,2013-06-10,0.796919439
2012-05-24,0.183958523,,2013-06-11,0.408299912,,2013-06-11,0.796919439
2012-05-25,0.18179289,,2013-06-12,0.416669468,,2013-06-12,0.796919439
2012-05-29,0.192871868,,2013-06-13,0.401885177,,2013-06-13,0.796919439
2012-05-30,0.178536975,,2013-06-14,0.407770193,,2013-06-14,0.796919439
2012-05-31,0.17626031,,2013-06-17,0.400202828,,2013-06-17,0.796919439
2012-06-01,0.151617725,,2013-06-18,0.39241167,,2013-06-18,0.796919439
2012-06-04,0.15172728,,2013-06-19,0.406263145,,2013-06-19,0.796919439
2012-06-05,0.15745413,,2013-06-20,0.431273496,,2013-06-20,0.796919439
2012-06-06,0.180503531,,2013-06-21,0.428603719,,2013-06-21,0.796919439
2012-06-07,0.180397066,,2013-06-24,0.440748735,,2013-06-24,0.796919439
2012-06-08,0.18851123,,2013-06-25,0.431251463,,2013-06-25,0.796919439
2012-06-11,0.175891117,,2013-06-26,0.421660976,,2013-06-26,0.796919439
2012-06-12,0.187541854,,2013-06-27,0.415461145,,2013-06-27,0.796919439
2012-06-13,0.180518603,,2013-06-28,0.419750708,,2013-06-28,0.796919439
2012-06-14,0.191333256,,2013-07-01,0.41434696,,2013-07-01,0.796919439
2012-06-15,0.201671071,,2013-07-02,0.414891868,,2013-07-02,0.796919439
2012-06-18,0.203115817,,2013-07-03,0.414067821,,2013-07-03,0.796919439
2012-06-19,0.212931513,,2013-07-05,0.403866089,,2013-07-05,0.796919439
2012-06-20,0.211245156,,2013-07-08,0.398614542,,2013-07-08,0.796919439
2012-06-21,0.188983479,,2013-07-09,0.400555041,,2013-07-09,0.806089608
2012-06-22,0.196158083,,2013-07-10,0.428948006,,2013-07-10,0.834664166
2012-06-25,0.18020323,,2013-07-11,0.405388518,,2013-07-11,0.824658929
2012-06-26,0.184975951,,2013-07-12,0.423374994,,2013-07-12,0.845731888
2012-06-27,0.193960857,,2013-07-15,0.394728302,,2013-07-15,0.818460075
2012-06-28,0.191851057,,2013-07-16,0.398437063,,2013-07-16,0.818460075
2012-06-29,0.216771296,,2013-07-17,0.395663016,,2013-07-17,0.818460075
2012-07-02,0.219230607,,2013-07-18,0.411965859,,2013-07-18,0.839795883
2012-07-03,0.225462718,,2013-07-19,0.433869827,,2013-07-19,0.863309902
2012-07-05,0.220775695,,2013-07-22,0.436273835,,2013-07-22,0.867746936
2012-07-06,0.211343046,,2013-07-23,0.426542382,,2013-07-23,0.856163546
2012-07-09,0.209704214,,2013-07-24,0.453493855,,2013-07-24,0.879303797
2012-07-10,0.201578287,,2013-07-25,0.453169998,,2013-07-25,0.881536412
2012-07-11,0.201563363,,2013-07-26,0.440913132,,2013-07-26,0.870107841
2012-07-12,0.196576266,,2013-07-29,0.461892238,,2013-07-29,0.887350909
2012-07-13,0.213073628,,2013-07-30,0.484344156,,2013-07-30,0.910176644
2012-07-16,0.210759315,,2013-07-31,0.516684032,,2013-07-31,0.94238011
2012-07-17,0.218168988,,2013-08-01,0.53023359,,2013-08-01,0.968470239
2012-07-18,0.224849478,,2013-08-02,0.539972932,,2013-08-02,0.979850039
2012-07-19,0.227566578,,2013-08-05,0.511916868,,2013-08-05,0.95031414
2012-07-20,0.217504918,,2013-08-06,0.504958742,,2013-08-06,0.937632981
2012-07-23,0.208595863,,2013-08-07,0.524085708,,2013-08-07,0.952954082
2012-07-24,0.19955493,,2013-08-08,0.507278925,,2013-08-08,0.940032748
2012-07-25,0.199241068,,2013-08-09,0.514968328,,2013-08-09,0.944152191
2012-07-26,0.215782043,,2013-08-12,0.527608093,,2013-08-12,0.955639036
2012-07-27,0.234862608,,2013-08-13,0.513385476,,2013-08-13,0.944192474
2012-07-30,0.234379249,,2013-08-14,0.467777994,,2013-08-14,0.893408375
2012-07-31,0.23006242,,2013-08-15,0.482059596,,2013-08-15,0.893408375
2012-08-01,0.22716244,,2013-08-16,0.485364191,,2013-08-16,0.893408375
2012-08-02,0.219658771,,2013-08-19,0.491264493,,2013-08-19,0.893408375
2012-08-03,0.238699057,,2013-08-20,0.487443298,,2013-08-20,0.893408375
2012-08-06,0.241028326,,2013-08-21,0.493222901,,2013-08-21,0.893408375
2012-08-07,0.246135084,,2013-08-22,0.484603525,,2013-08-22,0.893408375
2012-08-08,0.246755911,,2013-08-23,0.480656514,,2013-08-23,0.893408375
2012-08-09,0.247169596,,2013-08-26,0.484696172,,2013-08-26,0.893408375
2012-08-10,0.249358038,,2013-08-27,0.500570367,,2013-08-27,0.893408375
2012-08-13,0.248106137,,2013-08-28,0.497822721,,2013-08-28,0.893408375
2012-08-14,0.247977991,,2013-08-29,0.495859319,,2013-08-29,0.893408375
2012-08-15,0.249117631,,2013-08-30,0.499033638,,2013-08-30,0.893408375
2012-08-16,0.256218142,,2013-09-03,0.494869416,,2013-09-03,0.893408375
2012-08-17,0.258090275,,2013-09-04,0.486752463,,2013-09-04,0.893408375
2012-08-20,0.258069101,,2013-09-05,0.4855426,,2013-09-05,0.893408375
2012-08-21,0.254571565,,2013-09-06,0.485488169,,2013-09-06,0.893408375
2012-08-22,0.254797968,,2013-09-09,0.475495288,,2013-09-09,0.893408375
2012-08-23,0.246725725,,2013-09-10,0.468149499,,2013-09-10,0.893408375
2012-08-24,0.253180456,,2013-09-11,0.465097215,,2013-09-11,0.893408375
2012-08-27,0.252691441,,2013-09-12,0.468477631,,2013-09-12,0.893408375
2012-08-28,0.251883259,,2013-09-13,0.465762951,,2013-09-13,0.893408375
2012-08-29,0.252727608,,2013-09-16,0.460069798,,2013-09-16,0.893408375
2012-08-30,0.244921803,,2013-09-17,0.455852059,,2013-09-17,0.893408375
2012-08-31,0.249995099,,2013-09-18,0.443674385,,2013-09-18,0.893408375
2012-09-04,0.24882914,,2013-09-19,0.445517339,,2013-09-19,0.893408375
2012-09-05,0.247761478,,2013-09-20,0.442750236,,2013-09-20,0.883424385
2012-09-06,0.268197019,,2013-09-23,0.447469822,,2013-09-23,0.883424385
2012-09-07,0.272246993,,2013-09-24,0.450066965,,2013-09-24,0.883424385
2012-09-10,0.266099163,,2013-09-25,0.452806431,,2013-09-25,0.883424385
2012-09-11,0.269234119,,2013-09-26,0.449321005,,2013-09-26,0.883424385
2012-09-12,0.271326811,,2013-09-27,0.453394807,,2013-09-27,0.883424385
2012-09-13,0.287636558,,2013-09-30,0.459424037,,2013-09-30,0.883424385
2012-09-14,0.29159551,,2013-10-01,0.451425494,,2013-10-01,0.883424385
2012-09-17,0.288470819,,2013-10-02,0.452092164,,2013-10-02,0.883424385
2012-09-18,0.287191043,,2013-10-03,0.461071578,,2013-10-03,0.883424385
2012-09-19,0.288376598,,2013-10-04,0.454018354,,2013-10-04,0.883424385
2012-09-20,0.287835864,,2013-10-07,0.462524716,,2013-10-07,0.883424385
2012-09-21,0.287760544,,2013-10-08,0.474856795,,2013-10-08,0.883424385
2012-09-24,0.285527891,,2013-10-09,0.474282888,,2013-10-09,0.883424385
2012-09-25,0.275026035,,2013-10-10,0.452452392,,2013-10-10,0.883424385
2012-09-26,0.2692893,,2013-10-11,0.44616612,,2013-10-11,0.883424385
2012-09-27,0.278938282,,2013-10-14,0.4420914,,2013-10-14,0.883424385
2012-09-28,0.274460529,,2013-10-15,0.449155123,,2013-10-15,0.883424385
2012-10-01,0.277112035,,2013-10-16,0.435327591,,2013-10-16,0.883424385
2012-10-02,0.277984322,,2013-10-17,0.428583638,,2013-10-17,0.883424385
2012-10-03,0.281608732,,2013-10-18,0.41669945,,2013-10-18,0.878088952
2012-10-04,0.288783167,,2013-10-21,0.416607714,,2013-10-21,0.878088952
2012-10-05,0.288461578,,2013-10-22,0.4108702,,2013-10-22,0.878088952
2012-10-08,0.285004843,,2013-10-23,0.429433097,,2013-10-23,0.891927291
2012-10-09,0.275113901,,2013-10-24,0.430199811,,2013-10-24,0.89595214
2012-10-10,0.268925871,,2013-10-25,0.418310414,,2013-10-25,0.888457587
2012-10-11,0.26912126,,2013-10-28,0.425761117,,2013-10-28,0.897237989
2012-10-12,0.266155123,,2013-10-29,0.407120955,,2013-10-29,0.884182022
2012-10-15,0.274233045,,2013-10-30,0.417288315,,2013-10-30,0.889473459
2012-10-16,0.284502979,,2013-10-31,0.427268656,,2013-10-31,0.895614419
2012-10-17,0.288620037,,2013-11-01,0.449214794,,2013-11-01,0.920463978
2012-10-18,0.286176308,,2013-11-04,0.449217487,,2013-11-04,0.924037229
2012-10-19,0.269605003,,2013-11-05,0.467452033,,2013-11-05,0.939466188
2012-10-22,0.270044585,,2013-11-06,0.428205662,,2013-11-06,0.904485357
2012-10-23,0.255600679,,2013-11-07,0.481703376,,2013-11-07,0.944800299
2012-10-24,0.252515296,,2013-11-08,0.473015941,,2013-11-08,0.949540424
2012-10-25,0.255510839,,2013-11-11,0.474362203,,2013-11-11,0.951609617
2012-10-26,0.254781857,,2013-11-12,0.48020163,,2013-11-12,0.955078652
2012-10-31,0.254937737,,2013-11-13,0.483794556,,2013-11-13,0.966766923
2012-11-01,0.265864212,,2013-11-14,0.492219001,,2013-11-14,0.980028626
2012-11-02,0.256484758,,2013-11-15,0.486551648,,2013-11-15,0.978583307
2012-11-05,0.258648567,,2013-11-18,0.478188089,,2013-11-18,0.966521551
2012-11-06,0.266501752,,2013-11-19,0.500253845,,2013-11-19,0.986544341
2012-11-07,0.242796751,,2013-11-20,0.538281444,,2013-11-20,1.02093633
2012-11-08,0.230591909,,2013-11-21,0.543807034,,2013-11-21,1.034590484
2012-11-09,0.232290602,,2013-11-22,0.534736047,,2013-11-22,1.030480955
2012-11-12,0.232421089,,2013-11-25,0.530344461,,2013-11-25,1.024826026
2012-11-13,0.228435669,,2013-11-26,0.529656753,,2013-11-26,1.024288123
2012-11-14,0.214583633,,2013-11-27,0.515176286,,2013-11-27,1.012292737
2012-11-15,0.212990088,,2013-11-29,0.508412687,,2013-11-29,1.004743449
2012-11-16,0.217830038,,2013-12-02,0.485175026,,2013-12-02,0.978786767
2012-11-19,0.237692092,,2013-12-03,0.499236532,,2013-12-03,0.989655425
2012-11-20,0.238355478,,2013-12-04,0.492814634,,2013-12-04,0.981930034
2012-11-21,0.240675659,,2013-12-05,0.497154207,,2013-12-05,0.981930034
2012-11-23,0.253701974,,2013-12-06,0.485916336,,2013-12-06,0.981930034
2012-11-26,0.251672392,,2013-12-09,0.47917199,,2013-12-09,0.977002788
2012-11-27,0.246445804,,2013-12-10,0.435388399,,2013-12-10,0.930039539
2012-11-28,0.254301834,,2013-12-11,0.446705274,,2013-12-11,0.930039539
2012-11-29,0.258571476,,2013-12-12,0.450475836,,2013-12-12,0.930039539
2012-11-30,0.258733984,,2013-12-13,0.450577246,,2013-12-13,0.930039539
2012-12-03,0.253988759,,2013-12-16,0.444257206,,2013-12-16,0.930039539
2012-12-04,0.252278946,,2013-12-17,0.447358194,,2013-12-17,0.930039539
2012-12-05,0.253863808,,2013-12-18,0.43071023,,2013-12-18,0.930039539
2012-12-06,0.257170399,,2013-12-19,0.426060133,,2013-12-19,0.924809513
2012-12-07,0.260091319,,2013-12-20,0.457502454,,2013-12-20,0.961070562
2012-12-10,0.260429879,,2013-12-23,0.471433756,,2013-12-23,0.980319984
2012-12-11,0.266978762,,2013-12-24,0.48608624,,2013-12-24,0.997888215
2012-12-12,0.267427001,,2013-12-26,0.466737444,,2013-12-26,0.983284948
2012-12-13,0.261105576,,2013-12-27,0.451597345,,2013-12-27,0.967808265
2012-12-14,0.256970175,,2013-12-30,0.452369837,,2013-12-30,0.968401503
2012-12-17,0.268840765,,2013-12-31,0.428327103,,2013-12-31,0.948318444
2012-12-18,0.280327422,,2014-01-02,0.440214063,,2014-01-02,0.951343491
2012-12-19,0.272738221,,2014-01-03,0.446541132,,2014-01-03,0.957337595
2012-12-20,0.27822633,,2014-01-06,0.460857314,,2014-01-06,0.96914201
2012-12-21,0.268847643,,2014-01-07,0.453923653,,2014-01-07,0.968290114
2012-12-24,0.266407346,,2014-01-08,0.452801392,,2014-01-08,0.966955644
2012-12-26,0.261619886,,2014-01-09,0.464405127,,2014-01-09,0.978907688
2012-12-27,0.260401444,,2014-01-10,0.427411885,,2014-01-10,0.944221133
2012-12-28,0.249351503,,2014-01-13,0.439988102,,2014-01-13,0.944221133
2012-12-31,0.266293444,,2014-01-14,0.42917013,,2014-01-14,0.944221133
2013-01-02,0.291696864,,2014-01-15,0.421405721,,2014-01-15,0.941622913
2013-01-03,0.289611247,,2014-01-16,0.421896388,,2014-01-16,0.940766459
2013-01-04,0.294476343,,2014-01-17,0.431434621,,2014-01-17,0.946409518
2013-01-07,0.291353227,,2014-01-21,0.436367656,,2014-01-21,0.954116305
2013-01-08,0.288110855,,2014-01-22,0.422118328,,2014-01-22,0.940441842
2013-01-09,0.290766722,,2014-01-23,0.431007905,,2014-01-23,0.940441842
2013-01-10,0.298364136,,2014-01-24,0.451883354,,2014-01-24,0.940441842
2013-01-11,0.298316623,,2014-01-27,0.456759647,,2014-01-27,0.940441842
2013-01-14,0.297385951,,2014-01-28,0.450618995,,2014-01-28,0.940441842
2013-01-15,0.298514621,,2014-01-29,0.460828227,,2014-01-29,0.940441842
2013-01-16,0.298711613,,2014-01-30,0.449561183,,2014-01-30,0.940441842
2013-01-17,0.304354535,,2014-01-31,0.456026482,,2014-01-31,0.940441842
2013-01-18,0.307757805,,2014-02-03,0.478858402,,2014-02-03,0.940441842
2013-01-22,0.312185912,,2014-02-04,0.471217313,,2014-02-04,0.940441842
2013-01-23,0.313693389,,2014-02-05,0.473245536,,2014-02-05,0.940441842
2013-01-24,0.313700004,,2014-02-06,0.460805743,,2014-02-06,0.940441842
2013-01-25,0.319145486,,2014-02-07,0.447503856,,2014-02-07,0.940441842
2013-01-28,0.317295864,,2014-02-10,0.445934621,,2014-02-10,0.940441842
2013-01-29,0.322401859,,2014-02-11,0.434872508,,2014-02-11,0.940441842
2013-01-30,0.318502238,,2014-02-12,0.43514177,,2014-02-12,0.940441842
2013-01-31,0.315938936,,2014-02-13,0.429331745,,2014-02-13,0.940441842
2013-02-01,0.325991642,,2014-02-14,0.424522528,,2014-02-14,0.940441842
2013-02-04,0.314452897,,2014-02-18,0.423364054,,2014-02-18,0.940441842
2013-02-05,0.324869408,,2014-02-19,0.429888539,,2014-02-19,0.940441842
2013-02-06,0.325418578,,2014-02-20,0.42385708,,2014-02-20,0.940441842
2013-02-07,0.323613179,,2014-02-21,0.425775804,,2014-02-21,0.940441842
2013-02-08,0.32927112,,2014-02-24,0.419589291,,2014-02-24,0.940441842
2013-02-11,0.328665002,,2014-02-25,0.420936972,,2014-02-25,0.940441842
2013-02-12,0.330260274,,2014-02-26,0.420915272,,2014-02-26,0.940441842
2013-02-13,0.330852537,,2014-02-27,0.415967189,,2014-02-27,0.940441842
2013-02-14,0.331543209,,2014-02-28,0.413184501,,2014-02-28,0.940441842
2013-02-15,0.330498128,,2014-03-03,0.420563011,,2014-03-03,0.940441842
2013-02-19,0.337834603,,2014-03-04,0.40529531,,2014-03-04,0.940441842
2013-02-20,0.325430465,,2014-03-05,0.405348661,,2014-03-05,0.940441842
2013-02-21,0.319127408,,2014-03-06,0.403630253,,2014-03-06,0.940441842
2013-02-22,0.327899876,,2014-03-07,0.403092163,,2014-03-07,0.940441842
2013-02-25,0.309590295,,2014-03-10,0.40355541,,2014-03-10,0.940441842
2013-02-26,0.315699759,,2014-03-11,0.408637549,,2014-03-11,0.940441842
2013-02-27,0.328425753,,2014-03-12,0.408332378,,2014-03-12,0.940441842
2013-02-28,0.327561673,,2014-03-13,0.420033473,,2014-03-13,0.940441842
2013-03-01,0.329885529,,2014-03-14,0.422855251,,2014-03-14,0.940441842
2013-03-04,0.334496252,,2014-03-17,0.413241616,,2014-03-17,0.940441842
2013-03-05,0.344062269,,2014-03-18,0.406021997,,2014-03-18,0.940441842
2013-03-06,0.345146781,,2014-03-19,0.412153646,,2014-03-19,0.940441842
2013-03-07,0.346963273,,2014-03-20,0.406113142,,2014-03-20,0.940441842
2013-03-08,0.351444412,,2014-03-21,0.409045813,,2014-03-21,0.940441842
2013-03-11,0.354693498,,2014-03-24,0.413910523,,2014-03-24,0.940441842
2013-03-12,0.352290244,,2014-03-25,0.409506583,,2014-03-25,0.940441842
2013-03-13,0.353604297,,2014-03-26,0.416506903,,2014-03-26,0.940441842
2013-03-14,0.359207287,,2014-03-27,0.418406987,,2014-03-27,0.940441842
2013-03-15,0.357588824,,2014-03-28,0.413766765,,2014-03-28,0.940441842
2013-03-18,0.352078492,,2014-03-31,0.439729994,,2014-03-31,0.974329173
2013-03-19,0.349655961,,2014-04-01,0.425667046,,2014-04-01,0.967305574
2013-03-20,0.356353454,,2014-04-02,0.424228401,,2014-04-02,0.968720255
2013-03-21,0.34807102,,2014-04-03,0.404165084,,2014-04-03,0.947530489
2013-03-22,0.355245276,,2014-04-04,0.394572802,,2014-04-04,0.925400919
2013-03-25,0.351905237,,2014-04-07,0.405322915,,2014-04-07,0.925400919
2013-03-26,0.359690348,,2014-04-08,0.401572361,,2014-04-08,0.925400919
2013-03-27,0.359101998,,2014-04-09,0.390654148,,2014-04-09,0.925400919
2013-03-28,0.363158667,,2014-04-10,0.411538944,,2014-04-10,0.925400919
2013-04-01,0.358685087,,2014-04-11,0.421025718,,2014-04-11,0.925400919
2013-04-02,0.363857351,,2014-04-14,0.412808431,,2014-04-14,0.925400919
2013-04-03,0.353311222,,2014-04-15,0.406051124,,2014-04-15,0.925400919
2013-04-04,0.357359674,,2014-04-16,0.395562633,,2014-04-16,0.925400919
2013-04-05,0.353064779,,2014-04-17,0.413395391,,2014-04-17,0.944597531
2013-04-08,0.359367517,,2014-04-21,0.412310961,,2014-04-21,0.947288224
2013-04-09,0.362911849,,2014-04-22,0.403009698,,2014-04-22,0.9420791
2013-04-10,0.375100981,,2014-04-23,0.393480676,,2014-04-23,0.930336764
2013-04-11,0.378653232,,2014-04-24,0.384538346,,2014-04-24,0.923111395
2013-04-12,0.375816465,,2014-04-25,0.414306999,,2014-04-25,0.944783656
2013-04-15,0.352850174,,2014-04-28,0.429117505,,2014-04-28,0.962830198
2013-04-16,0.367157398,,2014-04-29,0.422957339,,2014-04-29,0.961430789
2013-04-17,0.352829716,,2014-04-30,0.421055294,,2014-04-30,0.962520761
2013-04-18,0.346128713,,2014-05-01,0.426798213,,2014-05-01,0.968120419
2013-04-19,0.354976615,,2014-05-02,0.438200826,,2014-05-02,0.978174587
2013-04-22,0.359638245,,2014-05-05,0.427447498,,2014-05-05,0.969292474
2013-04-23,0.370057464,,2014-05-06,0.457449486,,2014-05-06,0.990306071
2013-04-24,0.370063804,,2014-05-07,0.448957685,,2014-05-07,0.987430738
2013-04-25,0.374098536,,2014-05-08,0.472489422,,2014-05-08,1.00958885
2013-04-26,0.372256423,,2014-05-09,0.499774727,,2014-05-09,1.038393632
2013-04-29,0.379442435,,2014-05-12,0.487792825,,2014-05-12,1.036084467
2013-04-30,0.381927335,,2014-05-13,0.493012584,,2014-05-13,1.041725983
2013-05-01,0.372619451,,2014-05-14,0.485774664,,2014-05-14,1.029787059
2013-05-02,0.382027435,,2014-05-15,0.519448568,,2014-05-15,1.054099156
2013-05-03,0.392562101,,2014-05-16,0.527782331,,2014-05-16,1.066179883
2013-05-06,0.39446988,,2014-05-19,0.532644215,,2014-05-19,1.074886554
2013-05-07,0.39970015,,2014-05-20,0.553760404,,2014-05-20,1.089504345
2013-05-08,0.403839231,,2014-05-21,0.546604761,,2014-05-21,1.090464801
2013-05-09,0.400152127,,2014-05-22,0.551919104,,2014-05-22,1.098141374
2013-05-10,0.404473782,,2014-05-23,0.57855081,,2014-05-23,1.129021472
2013-05-13,0.404516672,,2014-05-27,0.575334184,,2014-05-27,1.131792651
2013-05-14,0.414658825,,2014-05-28,0.580001407,,2014-05-28,1.135345803
2013-05-15,0.419772961,,2014-05-29,0.576338965,,2014-05-29,1.137050471
2013-05-16,0.41476322,,2014-05-30,0.581433342,,2014-05-30,1.143988526
2013-05-17,0.425063317,,2014-06-02,0.576285391,,2014-06-02,1.139568401
2013-05-20,0.424355699,,2014-06-03,0.587241755,,2014-06-03,1.150145549
2013-05-21,0.426078085,,2014-06-04,0.62036751,,2014-06-04,1.185162967
2013-05-22,0.417804428,,2014-06-05,0.663904678,,2014-06-05,1.235225415
2013-05-23,0.414880595,,2014-06-06,0.646079916,,2014-06-06,1.222028412
2013-05-24,0.41432923,,2014-06-09,0.662852012,,2014-06-09,1.239739279
2013-05-28,0.420670211,,2014-06-10,0.640959912,,2014-06-10,1.217601195
2013-05-29,0.413622229,,2014-06-11,0.595344433,,2014-06-11,1.168448676
2013-05-30,0.417292574,,2014-06-12,0.619876719,,2014-06-12,1.185892068
2013-05-31,0.402985332,,2014-06-13,0.618368937,,2014-06-13,1.187518848
2013-06-03,0.408921321,,2014-06-16,0.650265915,,2014-06-16,1.220252531
2013-06-04,0.403410513,,2014-06-17,0.702775124,,2014-06-17,1.274934309
2013-06-05,0.38963078,,2014-06-18,0.691041584,,2014-06-18,1.27091965
2013-06-06,0.398121075,,2014-06-19,0.67582883,,2014-06-19,1.256984374
2013-06-07,0.410952616,,2014-06-20,0.69862575,,2014-06-20,1.281511353
2013-06-10,0.410605802,,2014-06-23,0.662050486,,2014-06-23,1.244803625
2013-06-11,0.400452435,,2014-06-24,0.7062373,,2014-06-24,1.282555128
