,,,,bench,,,strat
2011-01-03,0.116663172,,2012-01-17,0.09374364,,2012-01-17,0.242791862
2011-01-04,0.115350111,,2012-01-18,0.110021739,,2012-01-18,0.27017789
2011-01-05,0.120357281,,2012-01-19,0.135091063,,2012-01-19,0.300185871
2011-01-06,0.118234324,,2012-01-20,0.159371239,,2012-01-20,0.325135507
2011-01-07,0.116389541,,2012-01-23,0.153910479,,2012-01-23,0.320146091
2011-01-10,0.115013214,,2012-01-24,0.200066216,,2012-01-24,0.36527601
2011-01-11,0.118738341,,2012-01-25,0.187316123,,2012-01-25,0.361205059
2011-01-12,0.127745921,,2012-01-26,0.218179503,,2012-01-26,0.386314548
2011-01-13,0.126035175,,2012-01-27,0.188157456,,2012-01-27,0.354699624
2011-01-14,0.133419718,,2012-01-30,0.192444285,,2012-01-30,0.35646433
2011-01-18,0.134796129,,2012-01-31,0.218297592,,2012-01-31,0.381860689
2011-01-19,0.124680474,,2012-02-01,0.239605573,,2012-02-01,0.412068277
2011-01-20,0.123385515,,2012-02-02,0.292151338,,2012-02-02,0.465709188
2011-01-21,0.12579906,,2012-02-03,0.287437831,,2012-02-03,0.475601037
2011-01-24,0.13163534,,2012-02-06,0.280548135,,2012-02-06,0.468287468
2011-01-25,0.131898803,,2012-02-07,0.256948645,,2012-02-07,0.44671136
2011-01-26,0.13611971,,2012-02-08,0.203961488,,2012-02-08,0.395884413
2011-01-27,0.138364016,,2012-02-09,0.112247967,,2012-02-09,0.305645003
2011-01-28,0.120511489,,2012-02-10,0.204154512,,2012-02-10,0.390665246
2011-01-31,0.128174047,,2012-02-13,0.180491671,,2012-02-13,0.373802444
2011-02-01,0.144867646,,2012-02-14,0.122913446,,2012-02-14,0.315284696
2011-02-02,0.142145128,,2012-02-15,0.164737732,,2012-02-15,0.351725775
2011-02-03,0.144499327,,2012-02-16,0.161170169,,2012-02-16,0.359183918
2011-02-04,0.14738359,,2012-02-17,0.159571089,,2012-02-17,0.359933768
2011-02-07,0.153623761,,2012-02-21,0.184926394,,2012-02-21,0.386008997
2011-02-08,0.157808513,,2012-02-22,0.254426863,,2012-02-22,0.452169359
2011-02-09,0.155022748,,2012-02-23,0.211935683,,2012-02-23,0.413950181
2011-02-10,0.155772241,,2012-02-24,0.202287373,,2012-02-24,0.405974109
2011-02-11,0.161279612,,2012-02-27,0.21112664,,2012-02-27,0.416167935
2011-02-14,0.163664536,,2012-02-28,0.223404189,,2012-02-28,0.431801818
2011-02-15,0.160429626,,2012-02-29,0.247592618,,2012-02-29,0.451253259
2011-02-16,0.16668706,,2012-03-01,0.234708429,,2012-03-01,0.44452711
2011-02-17,0.169762752,,2012-03-02,0.239888956,,2012-03-02,0.44646188
2011-02-18,0.171687474,,2012-03-05,0.165275891,,2012-03-05,0.367979122
2011-02-22,0.151158909,,2012-03-06,0.229141786,,2012-03-06,0.416474856
2011-02-23,0.145046948,,2012-03-07,0.24129898,,2012-03-07,0.435532672
2011-02-24,0.144052572,,2012-03-08,0.251558056,,2012-03-08,0.455609679
2011-02-25,0.154603088,,2012-03-09,0.293222034,,2012-03-09,0.500904907
2011-02-28,0.160164174,,2012-03-12,0.340263017,,2012-03-12,0.548106352
2011-03-01,0.144424496,,2012-03-13,0.287525557,,2012-03-13,0.51350044
2011-03-02,0.146039696,,2012-03-14,0.30186125,,2012-03-14,0.526639871
2011-03-03,0.163258699,,2012-03-15,0.298664134,,2012-03-15,0.529409954
2011-03-04,0.155880661,,2012-03-16,0.358946041,,2012-03-16,0.59081126
2011-03-07,0.147539428,,2012-03-19,0.40004495,,2012-03-19,0.635884016
2011-03-08,0.156462162,,2012-03-20,0.451268243,,2012-03-20,0.684106791
2011-03-09,0.155100459,,2012-03-21,0.439532529,,2012-03-21,0.67049988
2011-03-10,0.136229507,,2012-03-22,0.516587987,,2012-03-22,0.740348796
2011-03-11,0.14331002,,2012-03-23,0.608546669,,2012-03-23,0.835416336
